,_id,gender,subCategory,articleType,baseColour,productDisplayName,image,price
0,63d7c05221c499a3844d8f48,Men,Topwear,Shirts,Navy Blue,Turtle Check Men Navy Blue Shirt,http://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg,200
1,63d7c05221c499a3844d8f49,Men,Bottomwear,Jeans,Blue,Peter England Men Party Blue Jeans,http://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg,200
2,63d7c05221c499a3844d8f4a,Women,Watches,Watches,Silver,Titan Women Silver Watch,http://assets.myntassets.com/v1/images/style/properties/Titan-Women-Silver-Watch_b4ef04538840c0020e4829ecc042ead1_images.jpg,200
3,63d7c05221c499a3844d8f4b,Men,Bottomwear,Track Pants,Black,Manchester United Men Solid Black Track Pants,http://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg,200
4,63d7c05221c499a3844d8f4c,Men,Topwear,Tshirts,Grey,Puma Men Grey T-shirt,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg,200
5,63d7c05221c499a3844d8f4d,Men,Topwear,Tshirts,Grey,Inkfruit Mens Chain Reaction T-shirt,http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg,200
6,63d7c05221c499a3844d8f4e,Men,Topwear,Shirts,Green,Fabindia Men Striped Green Shirt,http://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg,200
7,63d7c05221c499a3844d8f4f,Women,Topwear,Shirts,Purple,Jealous 21 Women Purple Shirt,http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg,200
8,63d7c05221c499a3844d8f50,Men,Socks,Socks,Navy Blue,Puma Men Pack of 3 Socks,http://assets.myntassets.com/v1/images/style/properties/4ca8848ab441378a392d9d5bf0b0f3c7_images.jpg,200
9,63d7c05221c499a3844d8f51,Men,Watches,Watches,Black,Skagen Men Black Watch,http://assets.myntassets.com/v1/images/style/properties/Skagen-Men-Black-Watch_4982b2b1a76a85a85c9adc8b4b2d523a_images.jpg,200
10,63d7c05221c499a3844d8f52,Men,Shoes,Casual Shoes,Black,Puma Men Future Cat Remix SF Black Casual Shoes,http://assets.myntassets.com/v1/images/style/properties/051d64772f1b38ff476fbf0a807f365a_images.jpg,200
11,63d7c05221c499a3844d8f53,Women,Belts,Belts,Black,Fossil Women Black Huarache Weave Belt,http://assets.myntassets.com/v1/images/style/properties/8eee4563e14cf451b07f27761fd6535f_images.jpg,200
12,63d7c05221c499a3844d8f54,Men,Flip Flops,Flip Flops,Black,Fila Men Cush Flex Black Slippers,http://assets.myntassets.com/v1/images/style/properties/53690e3f396f411e184b249672d6ebae_images.jpg,200
13,63d7c05221c499a3844d8f55,Women,Bags,Handbags,Blue,Murcia Women Blue Handbag,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Blue-Handbag_13cfaff26872c298112a8e7da15c1e1d_images.jpg,200
14,63d7c05221c499a3844d8f56,Boys,Flip Flops,Flip Flops,Navy Blue,Ben 10 Boys Navy Blue Slippers,http://assets.myntassets.com/v1/images/style/properties/5cab6a2305d0e63142f721228aa6d293_images.jpg,200
15,63d7c05221c499a3844d8f57,Men,Topwear,Shirts,Purple,Reid & Taylor Men Check Purple Shirts,http://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg,200
16,63d7c05221c499a3844d8f58,Men,Watches,Watches,Black,Police Men Black Dial Watch PL12889JVSB,http://assets.myntassets.com/v1/images/style/properties/Police-Men-Black-Dial-Watch_5bd8cae4fc61052a6f00cfcd69c4a936_images.jpg,200
17,63d7c05221c499a3844d8f59,Girls,Topwear,Tops,White,Gini and Jony Girls Knit White Top,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg,200
18,63d7c05221c499a3844d8f5a,Women,Innerwear,Bra,Beige,Bwitch Beige Full-Coverage Bra BW335,http://assets.myntassets.com/v1/image/style/properties/51832/Bwitch-Beige-Full-Coverage-Bra-BW335_1_d516fa94f14f0a5ecc90df7754390eb5.jpg,200
19,63d7c05221c499a3844d8f5b,Women,Bags,Handbags,Brown,Baggit Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/b14c7bf275c6edca3e849200fb7cbf6c_images.jpg,200
20,63d7c05221c499a3844d8f5c,Men,Watches,Watches,Black,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,http://assets.myntassets.com/assets/images/17429/2018/3/5/11520250143953-CASIO-G-Shock-Men-Black-Digital-Watch-G223-8211520250143786-1.jpg,200
21,63d7c05221c499a3844d8f5d,Men,Sandal,Sandals,Black,Ganuchi Men Casual Black Sandals,http://assets.myntassets.com/v1/images/style/properties/b23f1e70aec0102c360fb9dfdc476023_images.jpg,200
22,63d7c05221c499a3844d8f5e,Men,Topwear,Shirts,Green,Scullers Men  Green Check Shirt,http://assets.myntassets.com/v1/images/style/properties/9b2dc2cfc35d37aee2f4d46532384605_images.jpg,200
23,63d7c05221c499a3844d8f5f,Women,Bags,Handbags,Brown,Rocky S Women Brown Handbag,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-Brown-Handbag_5b44f798c0d6b84b00ae5a6316d931af_images.jpg,200
